priority,segment,company,market,website,source_url,contact_path,public_signal,why_fit,invite_angle,status
P2,Make partner,Axe Automation,United States,https://www.axeautomation.co,https://www.axeautomation.co,https://www.axeautomation.co,"AI and automation; Make.com development; CRMs; project management; white-label partnerships","Good agency/referral prospect because they sell operational automation and can package risk review into client work.","Invite them to evaluate the scorecard as a white-label discovery add-on.",research_only
P1,Zapier partner,Solvaa,United Kingdom,https://solvaa.co.uk,https://zapier.com/experts/,https://solvaa.co.uk/contact/,"Zapier expert; automation consultancy; generative AI book/training signal","Good validation target for Zapier and non-developer automation audiences; likely to understand workflow risk in client systems.","Invite them to test whether the scorecard works for Zapier-heavy client environments.",research_only
P1,automation agency,N8N Lab,Unknown,https://n8nlab.io,https://n8nlab.io,https://n8nlab.io,"n8n automation agency; AI agentic systems; human oversight; CRM agents; outbound and content workflows","Strong fit because the site explicitly sells n8n AI agent systems and mentions human oversight and production uptime.","Invite them to run the scorecard against an agentic workflow and use it as a pre-audit in their sales process.",research_only
P1,automation agency,SynkrAI,India/global,https://www.synkrai.com,https://www.synkrai.com,https://www.synkrai.com,"AI agent development; n8n/Make/Zapier automation; LangChain/CrewAI; AI SaaS product development","Strong fit because they build agentic AI solutions across tools, data, workflows, and SaaS integrations.","Invite them to test whether the scorecard frames workflow safety in a way their SMB clients understand.",research_only
P1,automation agency,iTechNotion,India/global,https://itechnotion.com/services/ai-workflow-automation-services,https://itechnotion.com/services/ai-workflow-automation-services,https://itechnotion.com/contact-us,"AI workflow automation; n8n/Zapier/Make; OpenAI; CRMs, email, data stores","Good target because they describe an audit/design/build process and integrate AI with business data stores.","Invite them to compare the scorecard with their initial workflow audit and identify missing risk checks.",research_only
P1,automation agency,The CloudOps,United Kingdom,https://thecloudops.co.uk/ai-workflow,https://thecloudops.co.uk/ai-workflow,https://thecloudops.co.uk/contact,"AI workflow automation; n8n/Zapier/Make; platform setup; marketing agency reporting","Good fit for testing the scorecard with practical automation use cases and UK SMB language.","Invite them to test the scorecard on a client reporting or data movement workflow.",research_only
P1,automation agency,Zatersio,United States,https://zatersio.com/services/ai-automation-usa,https://zatersio.com/services/ai-automation-usa,https://zatersio.com/contact,"AI automation consulting; n8n/Make/Zapier; workflows, data syncs, AI assistants","Good fit because they explicitly sell the exact platform mix where credential and tool-action risks appear.","Invite them to use the scorecard for one AI assistant/data sync workflow and share the result band.",research_only
P1,automation agency,Impulse Lab,France,https://impulselab.ai/en/agence-experte-n8n,https://impulselab.ai/en/agence-experte-n8n,https://impulselab.ai/en/agence-experte-n8n,"n8n expert agency; workflow automation; AI integration question visible","Good European prospect for n8n-specific validation and possible French/EU expansion later.","Invite them to test the scorecard for n8n client discovery.",research_only
P1,automation agency,AI Agency Corp,Unknown,https://www.aiagencycorp.com,https://www.aiagencycorp.com,https://www.aiagencycorp.com,"n8n workflows; AI agents; CRM syncs; reporting pipelines; conservative workflow automation","Good fit because they appear to position away from hype and toward conservative workflow automation with AI assistance.","Invite them to test whether the scorecard matches a conservative automation review mindset.",research_only
P1,MCP/agent tooling,Pipedream,United States,https://pipedream.com,https://pipedream.com/docs/connect/mcp,https://pipedream.com/contact,"MCP servers; 10,000+ tools; managed OAuth; secure credential storage; AI applications","Strong market-intelligence target because their product sits directly at the intersection of AI agents, tools, auth, and credentials.","Invite for expert feedback or partnership discussion rather than a normal buyer pitch.",research_only
P1,MCP/agent tooling,Composio,United States/global,https://composio.dev,https://docs.composio.dev/docs/single-toolkit-mcp,https://composio.dev,"AI agent tool integration; OAuth/API key auth; MCP; fine-grained permissions; audit trail","Strong product-team target because the scorecard risk model overlaps with their agent-tool/auth surface.","Invite them to critique our risk categories for teams connecting agents to external tools.",research_only
P1,MCP/agent tooling,Arcade.dev,United States,https://www.arcade.dev,https://www.arcade.dev,https://www.arcade.dev,"MCP runtime; secure agent authorization; governance; identity providers; real actions in SaaS tools","Excellent market-intelligence target because they explicitly sell the runtime/security layer for production AI agents.","Invite for feedback on whether our public scorecard helps educate teams before they need a runtime/governance platform.",research_only
P1,MCP/agent tooling,Klavis AI,Unknown,https://www.klavis.ai,https://www.klavis.ai/mcp-servers,https://www.klavis.ai,"Hosted MCP servers; integrations for CRM, dev tools, office suite, payments, finance","Good fit because hosted MCP servers create the exact tool-access risk surface the scorecard evaluates.","Invite them to test the scorecard against a hosted MCP integration and suggest MCP-specific wording.",research_only
P1,agent identity/security,Descope Agentic Identity Hub,United States,https://www.descope.com/use-cases/ai,https://www.descope.com/use-cases/ai,https://www.descope.com/contact,"Identity for AI agents and MCP servers; OAuth; consent; access control; credential management; policy controls","Strong partnership/intelligence prospect because they are building identity infrastructure for the same risk domain.","Invite for expert feedback and ask whether the scorecard could be a top-of-funnel education asset for agentic identity.",research_only
P1,agent identity/security,Aembit,United States,https://aembit.io,https://aembit.io,https://aembit.io/contact-us/,"Agentic AI IAM; workload identity; MCP gateway; runtime policy; auditability; kill switch","Strong market-intelligence prospect because their messaging confirms enterprise pain around AI agent access and credentials.","Invite for expert review of scorecard categories and possible co-marketing angle.",research_only
P2,agent security,Noma Security,United States/Israel,https://noma.security/solutions/ai-agent-security/,https://noma.security/solutions/ai-agent-security/,https://noma.security/contact/,"AI agent security; discovery; posture management; runtime protection; agent blast radius","Strategic intelligence target, probably less likely as an early buyer but useful for positioning and category language.","Invite only after initial validation, framed as research on agent blast-radius scoring.",research_only
P2,enterprise automation,Workato,United States/global,https://www.workato.com,https://www.workato.com,https://www.workato.com/contact-us,"Enterprise automation and AI/MCP positioning; large platform ecosystem","Useful for market mapping, but likely too large and platform-oriented for first validation wave.","Hold for later partnership/category research.",hold
P2,platform vendor,n8n,Germany/global,https://n8n.io/ai/,https://n8n.io/ai/,https://n8n.io/contact/,"AI workflow automation; human approvals; MCP support; production workflows","Strategic ecosystem contact rather than direct prospect; useful if the scorecard becomes credible in n8n community.","Hold until we have results from independent n8n partners.",hold
P2,platform vendor,Make,Czechia/global,https://www.make.com/en/partners,https://www.make.com/en/partners,https://www.make.com/en/contact-us,"AI-powered automation platform; partner ecosystem; MCP/AI agents visible in navigation","Strategic ecosystem contact rather than direct buyer; useful later for partner conversations.","Hold until we have partner usage proof.",hold
P2,platform vendor,Zapier,United States/global,https://zapier.com/ai,https://zapier.com/ai,https://zapier.com/contact-us,"AI workflows, agents, chatbots; large automation platform; security and compliance positioning","Strategic ecosystem contact rather than first-wave prospect.","Hold until scorecard has usage metrics.",hold
P1,lead pool,n8n Service Partner Directory,Global,https://experts.n8n.io,https://experts.n8n.io,https://experts.n8n.io,"Directory of n8n service partners; many mention AI solutions, governance, managed hosting, and production automation","Primary source for expanding the agency/consultancy list to 50-70 prospects.","Research 30 more partners here before first outbound wave.",research_pool
P1,lead pool,Make Partner Directory,Global,https://www.make.com/en/partners-directory,https://www.make.com/en/partners-directory,https://www.make.com/en/partners-directory,"Certified Make partners; contact button on profiles; useful filters and partner pages","Primary source for Make-focused agencies likely to understand client workflow risk.","Research 20 more Make partners with AI/enterprise automation signals.",research_pool
P1,lead pool,Zapier Solution Partner Directory,Global,https://zapier.com/experts/,https://zapier.com/experts/,https://zapier.com/experts/,"Zapier experts and solution partners; some mention generative AI and business process automation","Good source for Zapier-heavy agencies; likely different language from n8n/Make technical audience.","Research 10-15 Zapier partners with AI or complex operations language.",research_pool
P1,lead pool,Automation Agency Directory,Global,https://automationagencydirectory.com,https://automationagencydirectory.com,https://automationagencydirectory.com,"Directory for Zapier, Make, n8n, and custom automation experts; 386+ listed experts claim","Useful secondary source, but vet each listing carefully because quality likely varies.","Use for expansion after official partner directories.",research_pool
